roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,rfv
8,tt,tgt,gt,tygty,trh
roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,tg
8,tt,tgt,gt,tygty,trh
"['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'rfv']","['8', 'tt', 'tgt', 'gt', 'tygty', 'xed']","['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'tg']","['8', 'tt', 'tgt', 'gt', 'tygty', 'dde']"
7,6,65,65,65,65
5,hia,700,mumbai,87,cse
1,souvik,100,dgp,78,cse
roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,rfv
8,tt,tgt,gt,tygty,trh
roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,tg
8,tt,tgt,gt,tygty,trh
"['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'rfv']","['8', 'tt', 'tgt', 'gt', 'tygty', 'xed']","['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'tg']","['8', 'tt', 'tgt', 'gt', 'tygty', 'dde']"
7,6,65,65,65,65
5,hia,700,mumbai,87,cse
1,souvik,100,dgp,78,cse
roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,rfv
8,tt,tgt,gt,tygty,trh
roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,tg
8,tt,tgt,gt,tygty,trh
"['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'rfv']","['8', 'tt', 'tgt', 'gt', 'tygty', 'xed']","['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'tg']","['8', 'tt', 'tgt', 'gt', 'tygty', 'dde']"
7,6,65,65,65,65
5,hia,700,mumbai,87,cse
1,souvik,100,dgp,78,cse
roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,rfv
8,tt,tgt,gt,tygty,trh
roll,name,add,phone,higher,departement
7,gvfg,gvgtv,rv,v,tg
8,tt,tgt,gt,tygty,trh
"['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'rfv']","['8', 'tt', 'tgt', 'gt', 'tygty', 'xed']","['roll', 'name', 'add', 'phone', 'higher', 'departement']","['7', 'gvfg', 'gvgtv', 'rv', 'v', 'tg']","['8', 'tt', 'tgt', 'gt', 'tygty', 'dde']"
7,6,65,65,65,65
5,hia,700,mumbai,87,cse
1,souvik,100,dgp,78,cse
